time(ms)	OriginalData	FilteredData
7258.86	1.4614	-1.76576
7259.83	0.475281	-1.74926
7260.82	-5.6044	-1.83567
7261.83	-1.52938	-1.74246
7262.83	-3.58506	-1.79489
7263.82	0.895933	-1.80161
7264.83	-2.08903	-1.85105
7265.83	-4.84121	-1.85219
7266.83	-0.592843	-1.88276
7267.83	-0.0495666	-1.79301
7268.83	-1.44937	-1.84948
7269.82	-2.32928	-1.91805
7270.83	0.613048	-1.81216
7271.83	-0.4134	-1.71571
7272.86	-2.94663	-1.75174
7273.83	-3.95603	-1.84468
7274.82	1.1574	-1.74799
7275.83	-1.28544	-1.75837
7276.83	-6.16674	-1.82208
7277.82	-6.39667	-1.86883
7278.82	-2.63395	-1.89143
7279.83	1.45431	-1.78315
7280.83	1.23786	-1.71657
7281.83	-4.8151	-1.77434
7282.83	-2.90458	-1.83486
7283.83	1.14746	-1.70119
7284.83	0.510731	-1.63699
7285.86	1.24963	-1.63028
7286.82	-5.61121	-1.74736
7287.83	1.38712	-1.63595
7288.83	-4.2938	-1.72048
7289.83	-0.862527	-1.74234
7290.83	0.712343	-1.60085
7291.83	-4.69044	-1.72497
7292.83	0.807844	-1.71465
7293.82	-5.28495	-1.74712
7294.83	-4.98243	-1.84685
7295.83	-3.5931	-1.88946
7296.82	0.299078	-1.86847
7297.84	-4.33966	-1.97975
7298.84	-5.11491	-2.07384
7299.83	-5.90153	-2.22223
7300.84	-0.561396	-2.12867
7301.82	-2.36079	-2.08456
7302.83	-1.00789	-2.01529
7303.83	-0.674211	-1.9236
7304.83	-3.51314	-2.01183
7305.83	-3.37629	-2.07879
7306.83	-4.83876	-2.07828
7307.82	-2.59521	-2.07563
7308.84	1.13775	-2.0821
7309.82	-1.40063	-2.11962
7310.83	0.236994	-2.00279
7311.84	-2.59832	-2.02417
7312.86	-4.59879	-2.04445
7313.83	-6.08622	-2.18409
7314.83	-1.96204	-2.18155
7315.83	-4.73202	-2.17937
7316.84	1.19147	-2.14368
7317.83	-4.4827	-2.23234
7318.83	-2.3582	-2.25052
7319.84	-0.00459704	-2.20403
7320.83	-1.13391	-2.23896
